Month,Unemployed All,Unemployed Men,Unemploymed Women
1/20/2020,6280,3509,2771
2/20/2020,6022,3446,2576
3/20/2020,7048,3983,3064
4/20/2020,22031,10856,11175
5/20/2020,19913,9700,10213
6/20/2020,17420,8738,8683
7/20/2020,16366,8005,8361
8/20/2020,13428,6749,6679
9/20/2020,11957,6091,5866
10/20/2020,10378,5525,4853
11/20/2020,9981,5511,4471
12/20/2020,10176,5563,4614
1/21/2021,10562,5884,4677
2/21/2021,10196,5737,4459
3/21/2021,9666,5425,4241
4/21/2021,8998,5047,3951
5/21/2021,8629,4806,3823
6/21/2021,9497,5030,4467
7/21/2021,8868,4627,4242
8/21/2021,8286,4290,3996
9/21/2021,7157,3877,3280
10/21/2021,6707,3470,3237
